N,P,K,temperature,humidity,ph,rainfall,label
32.67,27.15,15.56,27.7,74.96,7.42,377.56,chickpea
22.78,36.76,29.24,21.46,58.92,6.41,493.28,lentil
114.45,53.05,47.49,28.93,71.75,7.14,805.13,cotton
104.52,51.49,56.94,21.64,44.43,6.76,772.64,pomegranate
61.58,42.21,46.92,17.49,61.98,6.93,587.56,wheat
49.57,30.03,25.18,18.17,78.93,6.82,447.02,kidneybeans
51.8,32.85,34.66,23.83,59.73,6.91,538.38,kidneybeans
95.69,34.91,48.38,23.07,64.61,6.43,1511.23,coffee
133.74,56.31,51.18,24.52,59.55,6.76,1072.94,cotton
32.72,25.72,23.79,33.52,62.17,6.5,284.61,mungbean
76.67,45.84,39.46,26.21,60.44,6.02,652.42,maize
126.87,61.9,73.85,28.56,76.73,6.97,1493.73,banana
15.92,17.02,14.48,32.16,55.94,7.48,205.93,mothbeans
62.95,36.09,14.92,33.1,70.87,7.32,2064.5,jute
90.42,37.61,59.88,23.43,64.68,6.19,522.51,grapes
90.82,47.9,43.76,19.89,73.7,6.49,638.4,grapes
18.45,10.69,27.9,29.7,56.48,7.81,300.35,mothbeans
26.52,24.23,20.14,29.5,64.74,6.6,353.65,mungbean
78.76,59.29,56.16,21.95,57.11,7.38,826.15,orange
34.22,19.31,25.33,27.83,63.3,6.67,265.69,mungbean
71.62,31.57,42.47,20.58,68.29,6.39,1129.48,apple
24.65,26.69,19.5,25.58,60.08,6.14,505.65,blackgram
97.01,50.79,43.83,21.84,66.47,6.28,592.53,grapes
88.17,49.92,45.58,16.69,60.22,6.41,598.96,grapes
135.44,78.23,58.66,25.31,59.83,6.65,1155.49,papaya
61.11,38.56,49.62,14.89,65.11,6.51,538.11,grapes
22.03,39.02,20.32,26.32,66.58,7.7,299.04,chickpea
78.4,65.18,65.61,25.94,56.43,6.27,495.27,muskmelon
47.22,25.5,21.55,28.92,83.38,6.09,1050.93,jute
114.97,59.49,69.34,24.24,66.23,6.76,448.63,muskmelon
24.36,25.16,28.39,30.16,66.69,6.77,298.11,mothbeans
28.87,33.71,16.23,24.76,70.82,7.28,377.65,pigeonpeas
100.05,42.67,50.05,27.1,64.49,6.8,475.31,muskmelon
85.87,43.3,62.49,30.8,64.03,6.16,407.87,muskmelon
30.61,37.05,26.78,24.76,77.5,7.36,323.79,chickpea
84.92,39.38,47.19,24.64,62.22,6.53,1128.38,apple
76.42,40.22,43.06,20.61,82.38,6.77,1485.28,rice
94.55,56.83,99.46,28.51,75.02,6.27,1675.81,coconut
60.6,44.59,50.25,18.16,61.81,6.35,703.46,grapes
20.52,17.74,21.55,28.8,55.21,7.16,217.54,mothbeans
86.98,50.43,44.48,25.97,61.12,7.04,960.77,mango
45.11,24.12,21.27,31.38,72.02,6.34,1811.13,jute
116.49,49.36,71.64,28.16,82.34,5.96,1221.44,coconut
97.12,46.21,79.99,24.87,68.65,6.91,497.55,watermelon
27.35,12.07,10.29,33.95,51.89,6.73,173.33,mothbeans
33.87,27.9,15.18,24.29,62.81,6.26,478.87,lentil
103.22,77.56,77.13,30.02,76.78,5.98,1382.59,banana
91.91,31.37,49.54,19.96,66.61,6.34,1046.49,apple
137.87,56.63,45.47,21.7,65.45,7.54,1016.12,cotton
96.2,48.27,51.28,15.64,56.2,7.38,1079.81,orange
31.39,28.82,18.78,27.1,79.12,7.16,487.43,mungbean
35.46,28.17,32.27,34.51,65.88,6.17,400.23,blackgram
134.7,54.39,59.49,26.83,53.31,7.32,797.21,cotton
29.39,20.05,26.39,24.57,68.64,6.6,315.44,pigeonpeas
20.45,11.9,25.31,30.5,69.51,6.62,293.09,mothbeans
31.16,20.54,17.81,23.97,63.49,7.74,487.15,chickpea
51.58,33.15,31.01,26.42,71.17,6.2,1614.09,jute
42.29,23.4,29.12,24.31,79.69,6.66,1351.3,jute
100.23,48.53,94.5,26.26,83.86,6.91,1253.35,coconut
51.22,35.64,20.22,24.3,61.96,6.83,371.51,kidneybeans
27.0,17.96,26.37,31.62,73.97,6.89,313.95,blackgram
65.59,44.29,33.18,16.4,57.21,6.41,506.85,wheat
35.1,24.15,29.84,21.91,73.2,6.41,461.96,pigeonpeas
105.38,59.76,51.4,24.85,76.66,5.99,1080.53,mango
27.72,29.91,21.0,28.38,61.94,7.14,313.58,mungbean
90.36,43.87,32.3,22.15,69.39,6.87,1422.02,apple
106.63,59.46,44.52,27.37,51.0,6.81,657.18,orange
87.91,65.65,50.41,31.73,54.86,6.85,463.06,watermelon
109.72,58.22,47.4,24.23,72.2,5.91,1144.97,cotton
40.97,23.28,19.97,27.87,69.16,6.32,369.2,blackgram
30.82,40.43,17.93,20.95,54.15,7.2,448.61,lentil
81.21,34.66,33.32,22.08,60.16,6.82,1080.3,apple
22.16,18.95,28.88,32.58,77.15,7.07,440.89,mungbean
85.21,49.56,32.85,21.13,69.01,6.42,1132.78,apple
119.92,39.1,72.67,33.66,52.57,6.14,497.94,muskmelon
87.8,36.88,47.88,21.97,79.13,6.39,1356.51,apple
31.68,25.94,26.09,29.12,78.13,7.75,467.75,chickpea
101.99,53.9,47.01,26.92,68.36,6.62,741.26,cotton
106.49,61.05,61.7,23.48,79.85,6.69,863.54,papaya
85.81,34.71,47.19,24.04,70.57,6.37,1076.41,apple
138.1,45.57,58.08,30.43,71.35,7.97,908.26,cotton
72.88,21.56,28.99,28.05,79.98,7.43,1389.31,jute
110.32,57.47,77.23,27.44,84.01,6.17,1496.81,coconut
26.76,11.7,15.59,34.57,52.04,7.45,283.03,mothbeans
29.9,13.51,28.01,34.53,69.04,7.9,271.19,mothbeans
104.09,48.37,21.87,24.7,71.4,5.86,765.28,maize
31.75,31.01,20.86,32.17,74.88,6.39,356.12,blackgram
87.72,51.78,42.11,26.62,66.48,5.81,883.93,mango
106.82,57.08,76.06,28.94,54.99,6.28,518.31,watermelon
69.11,50.08,57.26,19.84,73.99,6.36,539.87,grapes
62.46,35.64,46.77,22.45,63.38,6.4,544.83,wheat
101.98,66.78,66.51,29.78,58.65,6.22,380.93,watermelon
85.23,43.38,37.73,23.42,84.12,5.96,1787.06,rice
108.09,60.21,59.53,26.81,69.34,6.88,491.39,watermelon
43.5,40.41,18.38,34.38,89.82,7.21,1621.96,jute
111.17,41.75,42.23,28.34,61.58,7.08,700.73,pomegranate
117.38,60.12,45.78,24.28,72.88,6.78,1082.29,cotton
133.82,52.66,56.85,29.19,51.87,7.69,865.92,cotton
120.14,54.83,79.02,31.02,75.05,6.44,1206.54,banana
117.32,50.18,41.9,23.01,53.05,6.89,888.42,orange
77.7,49.7,28.89,25.62,74.58,6.69,923.09,maize
100.47,44.85,53.71,27.24,78.86,7.48,1173.51,cotton
112.37,73.47,79.41,27.64,79.81,6.12,1829.83,banana
37.03,25.24,23.07,27.12,76.05,6.65,396.04,blackgram
128.73,67.15,76.51,29.57,75.79,6.22,1496.92,sugarcane
77.29,42.55,36.94,22.74,60.56,6.71,612.93,maize
31.0,16.83,22.0,30.78,58.07,7.94,260.9,mothbeans
113.05,50.55,55.63,26.55,76.6,6.06,1027.97,mango
94.51,49.66,21.61,18.79,74.74,6.33,616.28,maize
30.3,31.98,23.24,34.19,69.51,6.58,365.23,mungbean
64.92,35.28,36.17,24.84,65.91,6.46,1374.14,apple
31.2,29.96,28.59,25.42,64.8,6.4,427.07,chickpea
109.43,60.64,59.8,34.2,49.73,6.34,560.48,muskmelon
92.11,40.62,49.01,16.71,79.62,6.75,782.67,orange
20.91,28.69,26.06,29.47,72.01,6.82,334.65,blackgram
50.56,31.72,20.35,22.68,66.8,6.42,428.84,kidneybeans
100.15,37.66,30.53,18.77,70.03,6.17,1758.06,coffee
124.77,78.27,57.89,23.18,77.78,6.34,968.45,sugarcane
106.51,54.47,26.53,22.1,74.72,6.89,840.82,maize
34.19,16.54,21.89,26.85,55.83,6.62,271.0,mothbeans
113.67,45.82,62.54,27.41,73.43,6.27,1803.99,coconut
103.04,50.54,54.25,30.75,60.25,6.2,521.18,muskmelon
89.36,39.92,19.42,20.16,79.94,6.74,938.86,maize
150.81,72.06,69.73,22.38,83.9,6.82,1153.39,sugarcane
44.34,39.44,32.43,15.72,70.72,6.1,510.95,kidneybeans
26.76,20.49,18.71,32.73,79.37,6.41,466.45,blackgram
137.52,54.93,87.98,29.14,76.16,7.39,1901.23,banana
128.55,42.14,43.83,28.64,56.91,7.62,771.37,cotton
120.27,41.48,60.15,27.43,46.11,7.5,603.86,pomegranate
106.6,60.33,52.98,25.97,73.91,6.64,1043.04,papaya
83.08,32.82,41.47,16.0,61.5,6.52,1236.86,apple
121.56,74.71,48.13,26.96,85.12,6.66,1134.06,sugarcane
21.34,26.92,19.49,27.68,77.02,6.64,386.54,chickpea
91.28,47.59,42.74,21.92,81.16,5.9,1554.61,rice
29.62,26.34,21.98,21.48,61.42,6.3,465.49,pigeonpeas
100.66,46.09,81.04,26.46,82.29,5.77,1077.36,coconut
28.06,27.64,31.85,29.03,68.79,7.02,442.07,blackgram
22.03,22.5,21.1,29.02,76.55,6.87,443.11,pigeonpeas
86.35,51.62,60.37,22.4,52.22,6.96,818.17,orange
115.09,50.45,49.51,22.36,67.03,6.97,1036.76,cotton
81.62,53.15,50.56,28.44,61.35,6.41,1219.35,mango
21.6,19.9,32.29,26.17,76.55,6.71,354.91,mungbean
112.32,67.37,56.56,25.3,59.38,6.52,580.4,watermelon
71.52,25.41,28.33,30.37,88.59,6.57,1076.53,jute
38.32,35.51,16.6,21.17,52.16,7.47,470.22,lentil
130.17,64.99,53.22,21.76,64.22,5.97,807.22,cotton
94.04,52.05,59.5,27.84,58.45,6.67,505.03,watermelon
65.85,32.25,35.39,24.8,53.64,6.76,576.03,wheat
120.07,56.97,39.26,19.49,61.64,6.32,705.88,orange
24.18,30.58,30.56,20.14,56.63,6.11,402.61,lentil
50.14,41.78,36.85,21.34,51.14,7.35,587.38,wheat
119.32,53.55,60.75,34.17,50.88,6.62,483.38,muskmelon
86.91,33.11,38.99,16.75,79.9,6.55,1365.91,apple
83.93,42.12,42.9,21.04,66.07,6.09,1101.31,apple
107.29,72.32,64.58,30.88,63.68,6.64,870.44,papaya
76.65,31.9,48.27,20.56,67.0,6.67,583.12,wheat
87.59,36.49,33.33,20.86,77.73,6.37,1399.51,coffee
31.96,27.08,22.34,29.88,56.11,6.47,312.52,mothbeans
60.8,38.5,42.69,23.71,69.08,7.15,549.83,wheat
61.74,45.0,43.02,16.38,66.77,6.35,493.95,wheat
106.02,56.08,55.71,20.1,55.04,7.31,735.08,pomegranate
101.47,39.82,38.42,20.92,66.72,6.01,691.37,maize
77.91,41.99,32.61,24.36,74.94,6.58,1836.16,coffee
120.88,75.58,68.73,26.22,81.54,7.29,1300.2,sugarcane
35.48,18.7,32.3,32.88,63.47,7.08,293.16,mungbean
137.55,70.63,100.24,30.59,83.92,6.28,1815.83,banana
108.79,59.18,50.8,21.07,78.14,6.98,792.75,orange
27.38,31.85,28.23,27.68,68.41,6.7,472.25,blackgram
119.54,47.27,41.59,27.01,51.96,7.47,757.59,cotton
107.42,50.89,79.05,27.54,70.17,6.93,442.04,watermelon
76.63,39.42,32.96,21.68,76.95,6.89,732.02,maize
36.23,34.05,21.73,26.76,70.76,6.79,1844.32,jute
129.52,55.73,75.51,27.32,83.28,7.11,1329.13,sugarcane
35.85,16.96,23.45,25.42,61.67,6.65,313.27,mungbean
87.03,52.08,60.16,29.72,48.43,7.13,769.72,pomegranate
134.14,54.24,68.25,23.43,84.19,6.87,1301.76,sugarcane
134.53,62.24,57.34,30.81,76.65,6.44,984.71,papaya
94.89,33.38,45.86,15.48,69.69,6.77,1927.29,coffee
91.36,45.32,53.48,29.9,64.49,5.62,1110.68,mango
57.83,48.16,37.93,18.72,61.33,6.09,466.54,wheat
72.15,30.77,33.83,16.6,61.98,6.53,1395.65,coffee
104.13,51.53,54.92,21.75,51.91,6.59,1137.24,cotton
80.57,53.05,55.11,20.97,75.27,6.19,519.1,grapes
19.23,25.32,19.75,25.14,60.12,7.04,334.04,mungbean
80.61,41.67,36.64,24.75,73.36,6.05,1153.75,apple
109.66,43.68,51.73,19.65,41.78,7.36,649.02,pomegranate
98.65,58.23,79.36,29.74,73.48,6.19,1064.22,coconut
65.34,45.41,51.43,22.52,70.98,6.92,773.36,grapes
53.56,35.98,36.66,19.83,78.98,6.87,458.67,kidneybeans
49.21,37.12,28.69,18.74,69.33,6.32,493.36,kidneybeans
124.18,70.81,56.74,24.54,84.46,6.32,1272.25,sugarcane
85.69,53.32,60.01,31.89,54.77,6.65,542.98,watermelon
30.64,24.82,17.47,25.77,66.59,6.49,335.35,chickpea
30.32,29.42,27.98,29.27,62.18,6.94,297.6,chickpea
98.24,54.85,73.27,25.28,63.4,6.9,413.09,watermelon
19.59,26.2,15.85,34.09,77.94,6.72,477.04,blackgram
75.46,45.02,53.96,20.65,76.59,6.75,510.78,grapes
24.87,17.52,20.81,34.46,70.25,6.56,374.45,mungbean
21.29,41.1,30.51,21.12,60.12,7.36,364.4,chickpea
49.75,39.52,31.26,17.91,73.71,6.35,536.21,kidneybeans
26.47,27.04,31.73,32.75,76.48,7.13,397.21,mungbean
115.51,78.82,71.35,24.83,64.48,6.31,808.69,papaya
85.06,42.59,33.29,18.02,73.04,6.23,900.82,maize
127.15,51.63,76.54,30.38,77.26,7.21,1683.63,banana
117.63,64.94,62.91,30.53,80.13,6.39,967.16,papaya
73.8,34.47,44.3,22.74,61.09,6.73,549.49,wheat
67.02,48.01,57.08,25.1,64.22,6.79,598.6,grapes
68.75,32.99,47.61,21.12,56.51,6.24,649.9,wheat
25.3,23.85,20.86,24.13,65.68,6.79,459.08,chickpea
82.79,40.34,55.67,34.95,52.48,6.47,564.13,watermelon
56.22,40.54,27.61,19.71,63.52,6.28,545.75,kidneybeans
35.31,32.21,26.21,34.87,80.12,6.11,461.19,blackgram
106.84,73.76,83.87,31.44,78.05,6.2,1582.27,banana
117.08,56.17,65.41,25.8,49.5,6.86,459.25,muskmelon
70.08,45.93,54.64,20.9,78.31,6.39,614.88,grapes
103.09,43.54,89.16,29.2,81.59,6.65,1996.31,coconut
108.42,42.61,42.98,25.77,88.81,6.58,1823.33,rice
115.75,47.79,41.94,24.93,34.95,7.0,550.5,pomegranate
25.74,27.8,33.17,24.63,80.36,6.95,473.49,chickpea
129.93,54.53,70.44,22.87,81.2,6.44,1293.45,sugarcane
129.06,64.55,83.63,29.62,82.49,7.09,1625.43,banana
105.49,59.96,66.46,24.11,63.61,6.41,576.75,watermelon
30.03,31.57,25.38,29.57,62.3,6.1,391.03,blackgram
95.59,69.4,55.51,30.79,58.39,6.07,506.09,watermelon
157.02,79.49,51.48,28.05,78.29,6.57,1335.55,sugarcane
76.36,55.38,59.74,30.32,82.86,6.15,1565.37,coconut
83.22,58.21,57.72,33.84,56.06,6.7,546.53,watermelon
37.26,21.01,17.42,15.52,52.06,6.28,469.1,lentil
105.5,52.13,74.34,26.52,69.78,6.61,550.29,muskmelon
113.05,44.81,46.98,24.89,50.11,6.92,488.4,pomegranate
117.0,51.85,89.35,31.89,75.88,6.72,1430.42,coconut
111.14,59.86,66.05,24.34,60.54,6.73,1053.87,papaya
56.19,39.8,28.37,15.95,60.9,6.38,484.7,kidneybeans
41.62,36.18,16.49,17.36,56.19,6.96,440.56,lentil
99.76,48.89,46.43,29.8,74.49,7.25,1150.32,mango
59.26,43.82,31.72,18.37,60.23,7.15,521.87,wheat
87.66,49.08,51.24,25.47,69.55,6.33,376.74,muskmelon
110.25,54.77,78.44,27.02,50.92,6.91,476.39,watermelon
69.8,38.03,50.0,16.45,74.58,6.1,1941.7,coffee
110.03,52.57,54.12,31.12,81.06,6.35,1063.55,papaya
131.92,58.67,71.82,29.82,80.74,6.25,1447.79,banana
79.23,48.49,60.48,18.85,79.02,6.43,690.03,grapes
117.85,60.23,86.04,30.93,78.94,6.84,1787.74,banana
87.79,54.83,82.43,31.2,77.49,6.29,1220.68,coconut
21.25,24.29,18.95,24.51,68.18,7.11,427.38,pigeonpeas
96.08,42.58,51.29,27.8,79.85,6.65,790.78,orange
111.7,43.26,42.39,22.07,58.98,6.37,1035.54,orange
37.64,27.24,29.47,32.23,65.31,6.05,303.24,blackgram
66.39,49.95,45.79,16.92,77.8,6.04,611.32,grapes
32.12,26.61,29.75,27.89,69.69,7.17,348.9,mungbean
89.77,52.41,69.06,31.96,50.18,6.94,423.67,muskmelon
59.71,41.88,51.06,21.15,54.11,6.94,529.68,wheat
117.69,58.01,83.91,29.82,75.25,6.43,1476.57,coconut
42.58,22.79,27.22,26.73,71.17,6.14,436.31,blackgram
117.07,58.36,35.92,24.73,88.5,6.36,1732.71,rice
37.18,29.43,26.37,17.91,62.34,7.49,307.56,lentil
67.83,45.78,49.78,24.06,64.25,6.62,731.54,grapes
79.87,43.69,49.58,29.03,75.59,7.28,743.37,orange
83.67,30.6,32.02,21.46,64.29,6.49,1238.38,apple
80.86,52.85,50.33,31.35,61.68,6.88,1041.57,mango
92.95,54.08,61.16,30.68,67.59,6.15,474.87,muskmelon
24.02,19.31,32.13,25.47,63.42,6.76,311.14,mungbean
99.42,45.67,38.79,20.46,80.12,6.72,1657.01,rice
103.9,59.75,63.02,31.07,51.18,6.04,482.02,muskmelon
99.24,70.71,73.51,30.5,77.97,7.19,1322.55,banana
113.2,55.34,69.69,33.35,60.19,6.32,559.32,watermelon
88.24,58.29,72.13,34.02,55.16,6.96,436.77,muskmelon
73.47,43.82,39.03,21.07,61.1,6.82,1946.9,coffee
32.02,25.99,24.45,26.88,78.2,6.26,356.83,blackgram
25.77,31.57,16.54,35.02,71.98,6.36,360.24,mungbean
99.14,58.92,50.91,30.23,65.76,6.85,422.34,watermelon
107.88,48.43,58.03,24.32,73.16,7.05,1106.03,mango
148.34,71.35,60.24,29.68,76.54,6.73,1315.4,sugarcane
81.93,42.21,21.17,26.43,71.66,6.18,751.42,maize
60.98,28.43,32.29,32.57,82.28,6.58,1265.69,jute
53.04,38.57,25.51,29.22,85.76,6.22,1501.99,jute
30.81,27.23,30.98,20.24,72.3,7.32,342.74,pigeonpeas
112.03,51.77,68.69,29.63,79.23,6.41,1555.6,coconut
26.36,39.24,20.08,24.76,63.73,6.67,418.53,lentil
39.3,26.99,21.52,28.38,74.28,7.09,339.02,pigeonpeas
98.57,41.26,45.39,20.76,82.68,6.91,2004.5,rice
61.93,37.17,34.85,16.56,79.03,6.56,1797.54,coffee
93.47,58.49,48.64,15.91,59.84,6.86,701.63,pomegranate
77.2,32.63,17.95,28.78,84.11,7.12,1107.03,jute
31.24,18.75,20.0,29.75,55.82,7.49,227.45,mothbeans
114.2,42.47,55.57,28.78,57.86,6.58,980.32,orange
49.45,31.18,31.68,23.8,78.03,6.1,490.52,kidneybeans
97.54,40.45,42.63,25.47,66.29,6.74,710.49,orange
27.79,29.36,19.86,22.63,59.95,7.45,269.04,lentil
40.34,28.76,31.64,28.82,78.41,6.29,350.4,chickpea
24.58,38.03,25.56,18.92,52.0,7.09,416.84,lentil
109.25,54.49,69.29,27.78,56.22,6.52,497.23,watermelon
23.29,34.15,26.0,18.23,50.43,6.1,358.87,lentil
112.88,47.29,92.56,31.93,79.93,6.62,1783.9,coconut
73.43,45.41,41.23,19.56,66.62,6.58,1346.52,apple
102.32,48.52,91.97,26.64,70.98,5.97,1458.07,coconut
119.26,41.03,56.18,20.06,36.41,7.43,560.57,pomegranate
94.37,60.44,61.61,32.85,59.36,6.72,435.3,watermelon
46.92,32.95,26.14,29.49,82.56,6.33,1523.58,jute
95.16,58.09,39.0,23.4,87.48,6.14,1785.24,rice
32.32,18.24,14.79,24.19,63.45,6.28,370.67,pigeonpeas
98.96,56.64,53.79,28.13,57.04,7.32,661.19,orange
44.66,41.93,32.94,24.08,72.14,6.74,592.25,kidneybeans
36.44,26.96,33.13,27.96,63.29,7.21,422.12,pigeonpeas
76.92,42.2,48.84,23.2,70.53,6.55,627.25,wheat
97.33,47.39,67.33,27.25,84.89,6.13,1401.95,coconut
110.2,68.68,47.58,21.82,68.85,6.03,802.25,cotton
83.43,57.15,38.62,25.09,83.57,6.32,1785.08,rice
104.42,47.47,56.31,22.48,53.38,6.2,872.08,orange
91.76,44.25,45.59,24.7,74.25,6.53,888.08,mango
18.9,18.87,24.91,31.96,64.18,6.67,368.43,blackgram
97.86,48.36,52.04,20.49,54.5,6.75,1113.69,orange
152.93,64.07,60.52,28.04,79.67,6.31,1404.26,sugarcane
62.88,41.66,35.45,21.78,67.82,7.18,456.28,wheat
72.38,46.9,46.16,23.49,63.78,7.02,592.75,wheat
124.61,75.88,56.59,25.25,75.3,6.42,1224.3,sugarcane
144.99,78.29,73.45,25.09,82.17,6.6,1110.1,sugarcane
95.26,41.84,78.28,29.04,50.44,6.68,518.28,watermelon
107.74,41.91,78.2,31.12,57.61,6.75,415.49,muskmelon
132.46,71.98,84.59,28.48,76.76,7.15,1597.13,banana
111.66,65.42,66.07,29.23,51.28,6.89,360.36,muskmelon
18.47,14.36,15.36,30.08,63.39,7.12,293.68,mothbeans
39.2,22.56,15.18,17.02,68.95,7.47,418.84,lentil
30.65,24.85,27.62,20.02,70.68,7.49,439.36,lentil
20.63,27.11,26.37,23.81,69.56,6.63,295.22,lentil
117.95,61.38,94.62,26.76,76.14,6.87,1729.02,banana
19.62,39.93,27.3,27.89,69.01,7.64,380.12,chickpea
109.72,58.4,45.07,22.99,65.75,5.8,591.83,cotton
124.56,71.69,77.88,22.0,74.2,6.69,1076.41,sugarcane
111.75,48.27,51.27,29.58,64.56,5.8,1161.15,mango
95.71,46.81,64.0,23.96,63.57,6.54,598.0,watermelon
107.4,60.24,70.1,23.06,67.96,6.52,1198.46,papaya
37.62,26.93,24.43,19.24,53.02,7.43,367.01,lentil
105.03,50.59,66.94,30.88,58.45,6.68,542.94,watermelon
87.52,42.16,35.58,22.92,81.47,6.07,1724.12,rice
28.64,37.5,22.28,26.43,74.29,7.45,395.0,chickpea
113.24,49.31,71.4,26.12,84.3,5.6,1195.48,coconut
38.7,34.4,37.43,21.02,64.95,6.4,550.58,kidneybeans
114.84,44.04,37.0,25.15,86.75,6.82,1860.31,rice
39.34,40.52,33.14,24.62,55.31,7.21,458.99,lentil
24.91,36.94,15.32,28.28,62.9,6.25,441.88,chickpea
26.42,36.3,31.03,16.79,59.18,7.18,378.95,lentil
66.84,40.37,42.52,15.5,67.8,7.37,578.55,wheat
42.64,40.42,35.44,24.32,67.42,6.48,439.25,kidneybeans
99.23,48.11,58.72,18.58,55.5,6.43,696.86,orange
20.33,26.62,23.4,21.38,53.4,7.27,419.05,lentil
86.95,47.34,53.91,30.3,72.94,5.97,1003.55,mango
93.18,33.17,44.05,15.35,69.76,6.12,1093.25,apple
75.71,37.13,28.64,31.29,89.65,6.43,997.0,jute
36.36,29.9,32.35,29.26,63.39,6.25,273.33,mungbean
101.4,56.2,43.47,22.27,81.1,5.85,1751.84,rice
32.56,30.82,24.83,34.11,72.81,6.87,330.55,blackgram
19.66,34.82,17.64,34.05,67.62,6.0,474.2,blackgram
92.32,54.63,20.54,18.26,65.18,6.15,698.93,maize
127.14,59.15,58.59,28.76,81.7,7.2,1136.31,sugarcane
117.18,47.06,63.4,29.35,67.49,6.78,488.73,watermelon
72.73,45.29,38.34,16.39,60.35,6.58,1966.99,coffee
108.71,53.49,42.99,24.58,85.82,5.64,1693.71,rice
95.4,53.85,76.43,26.7,79.66,5.99,1943.16,coconut
93.71,43.37,45.73,23.59,62.67,6.52,1062.26,orange
103.89,70.11,71.05,30.16,81.57,6.22,1374.47,banana
84.96,51.49,29.82,22.35,61.1,6.2,719.91,maize
89.09,43.09,56.74,20.53,35.4,6.82,659.88,pomegranate
91.13,48.01,67.16,32.76,51.74,6.91,579.47,muskmelon
122.1,43.2,42.5,23.63,79.98,6.54,842.08,cotton
77.93,27.75,29.59,26.88,88.72,6.02,1610.57,jute
79.9,48.42,35.96,21.68,63.42,6.61,1165.54,apple
101.75,45.07,41.35,15.6,39.62,6.59,748.62,pomegranate
125.77,60.44,52.5,24.49,54.83,6.76,695.59,cotton
74.21,30.24,43.48,17.23,53.2,6.11,573.28,wheat
88.52,49.86,56.27,28.88,43.39,6.81,622.21,pomegranate
106.19,45.76,72.0,25.21,57.96,6.26,537.1,muskmelon
23.02,21.8,26.52,34.11,66.26,6.37,337.35,mungbean
87.45,45.5,53.87,28.54,79.46,6.33,1073.36,orange
83.66,48.05,39.76,18.42,72.02,6.97,1422.25,apple
62.12,41.61,32.52,24.62,54.39,7.44,558.67,wheat
119.25,72.42,70.2,27.15,81.27,6.52,1558.58,banana
90.63,58.18,56.83,28.74,73.07,6.46,964.96,mango
78.62,46.59,36.14,15.33,66.92,6.78,1235.34,apple
88.16,45.79,43.42,27.78,51.42,7.05,665.37,pomegranate
41.69,35.48,29.01,19.01,75.13,6.39,409.03,kidneybeans
92.33,46.42,48.46,19.29,69.59,7.33,551.52,pomegranate
29.93,32.37,24.77,26.8,72.09,7.27,389.74,pigeonpeas
41.59,42.83,38.05,17.45,62.3,6.05,492.27,kidneybeans
34.46,32.85,33.49,32.58,70.37,6.34,306.07,mungbean
25.44,25.76,29.1,21.26,60.22,7.01,394.31,lentil
43.58,27.1,21.11,15.9,66.18,6.52,426.14,kidneybeans
50.49,42.82,29.9,22.81,64.39,6.17,528.71,kidneybeans
88.29,45.66,54.2,19.43,62.78,6.28,650.3,grapes
95.74,43.84,47.78,28.3,47.67,7.44,742.84,pomegranate
36.63,32.58,32.71,28.3,60.22,6.32,354.93,blackgram
25.69,26.59,15.72,28.79,69.72,6.08,416.62,pigeonpeas
109.39,52.1,47.01,21.48,66.3,6.03,602.78,orange
18.02,31.75,16.44,25.48,67.04,6.39,433.03,pigeonpeas
129.07,54.44,46.22,29.52,53.68,7.92,750.58,cotton
34.48,17.22,21.79,31.13,71.85,6.58,304.24,mungbean
30.83,22.23,23.46,24.92,76.54,6.3,348.01,chickpea
38.44,36.16,25.43,18.81,56.42,7.34,317.02,lentil
122.87,60.61,47.59,27.84,73.07,6.9,1189.68,cotton
115.47,54.42,59.51,26.73,69.37,5.53,833.87,mango
115.79,42.53,51.59,25.19,73.5,7.26,972.54,mango
88.59,41.22,29.92,22.38,62.4,6.57,694.57,maize
95.82,47.87,47.64,22.28,60.49,6.76,632.68,grapes
102.85,41.39,55.59,25.56,61.28,6.09,1026.41,orange
19.81,22.48,22.8,33.12,62.24,7.97,249.68,mothbeans
125.07,68.22,58.41,27.98,74.04,7.31,786.1,cotton
35.93,28.9,25.44,28.45,77.71,6.58,356.84,chickpea
80.3,42.32,44.06,15.22,66.67,6.8,517.42,grapes
108.04,48.23,58.79,16.38,60.82,6.72,878.43,orange
93.78,44.66,32.19,21.99,78.8,6.7,1492.77,coffee
81.74,50.15,48.63,17.41,63.37,6.49,927.05,orange
131.99,63.95,50.99,25.63,54.28,7.55,811.59,cotton
40.85,31.85,15.8,32.53,76.92,6.08,1560.56,jute
24.17,34.89,34.78,22.79,56.04,6.4,364.29,lentil
112.43,76.97,68.49,29.15,66.43,6.72,824.47,papaya
113.4,48.8,44.93,17.51,72.94,6.37,1052.11,orange
27.96,24.15,24.55,28.64,76.83,6.46,453.56,blackgram
72.28,42.23,54.5,18.85,71.46,6.06,751.19,grapes
107.18,71.33,68.91,29.46,67.6,6.44,939.64,papaya
94.19,52.91,81.67,25.89,73.77,5.86,1210.69,coconut
79.79,38.12,41.82,20.85,63.33,6.95,1314.25,apple
95.72,47.51,40.41,24.05,64.83,6.89,710.73,pomegranate
99.14,44.0,34.44,18.85,72.52,6.84,1038.77,apple
125.5,76.57,87.08,26.95,79.18,6.74,1267.98,banana
27.52,20.79,27.91,26.78,76.62,6.98,326.79,mungbean
31.51,16.54,23.12,31.0,69.56,6.33,390.44,blackgram
